graph_size,density,threads,seq_time,par_time,speedup,efficiency,correct
500,0.30,1,0.002493,0.002633,0.9467,94.67,1
500,0.30,2,0.002493,0.002285,1.0909,54.54,1
500,0.30,4,0.002493,0.021906,0.1138,2.84,1
500,0.30,8,0.002493,0.054745,0.0455,0.57,1
1000,0.30,1,0.009844,0.010061,0.9784,97.84,1
1000,0.30,2,0.009844,0.008005,1.2297,61.49,1
1000,0.30,4,0.009844,0.048111,0.2046,5.12,1
1000,0.30,8,0.009844,0.120866,0.0814,1.02,1
2000,0.30,1,0.039079,0.038153,1.0243,102.43,1
2000,0.30,2,0.039079,0.028358,1.3781,68.90,1
2000,0.30,4,0.039079,0.114302,0.3419,8.55,1
2000,0.30,8,0.039079,0.302275,0.1293,1.62,1
